Date,Open,High,Low,Close,Adj Close,Rendimiento,IPC,Rend-ipc,Correlacion,Volume
2019-02-07,82.150002,82.849998,81.709999,82.389999,80.593132,-0.003868730055283,43180.449219,-0.010180083325773,0.300027149383919,4827500
2019-02-08,82.25,82.720001,81.940002,82.360001,80.563782,-0.000364174952277,43285.171875,0.002425233129671,0.286311325408947,3786500
2019-02-11,82.949997,83.830002,82.870003,83.68,81.854988,0.016027127425572,43113.789063,-0.003959388505951,0.232481451065735,6158500
2019-02-12,83.970001,84.839996,83.620003,84.709999,82.862526,0.012308816171349,42284.058594,-0.019245129853643,0.084070403474676,6290300
2019-02-13,84.760002,85.589996,84.760002,85.400002,83.537468,0.008145322530959,42725.21875,0.010433250039593,0.106578422750735,5032800
2019-02-14,84.610001,85.139999,83.699997,84.68,82.833176,-0.008430851650902,42988.71875,0.006167317750714,0.044792911677081,5179000
2019-02-15,85.489998,85.779999,85.099998,85.379997,83.517906,0.008266373850014,42981.308594,-0.000172374432536,0.045301360820748,6111300
2019-02-19,84.580002,85.050003,84.459999,84.57,82.725563,-0.009487103280583,42949.5,-0.000740056434774,0.045718019467355,5105900
2019-02-20,84.629997,84.949997,84.349998,84.839996,82.989693,0.003192846206438,43178,0.005320201632149,0.042932574762716,6436100
2019-02-21,83.57,84.150002,83.349998,83.949997,82.119095,-0.010490435239952,43577.640625,0.009255653920978,-0.033417385403548,8579200
2019-02-22,84.199997,85.019997,84.029999,84.760002,82.911438,0.009648705943484,43738.660156,0.003695003416675,-0.02084676595276,4449500
2019-02-25,85.389999,85.730003,84.959999,85.169998,83.312485,0.004837052759837,43664.328125,-0.001699458344972,-0.022068731824178,6229700
2019-02-26,85.309998,86.080002,85.199997,85.800003,83.928749,0.00739701858611,43623.328125,-0.000938981584295,-0.024091606169796,6678700
2019-02-27,85.529999,86.220001,85.059998,86.169998,84.290672,0.004312264918902,43311.179688,-0.007155539258847,-0.02590602604505,4588200
2019-02-28,86.080002,86.400002,85.68,85.730003,83.860291,-0.005105914922591,42823.808594,-0.011252778093575,0.023927753619777,4988100
2019-03-01,86.93,87.989998,86.239998,87.160004,85.478439,0.019295759419676,42619.230469,-0.004777205291093,-0.00936698896434,6314900
2019-03-04,87.32,87.989998,85.110001,85.639999,83.987762,-0.017439216455509,42418.488281,-0.004710131689168,0.029628877184631,7339500
2019-03-05,85.879997,86.25,85.440002,85.440002,83.791634,-0.002335197358872,42128.910156,-0.006826696017116,0.044038291003758,4976300
2019-03-06,85.599998,85.989998,85.040001,85.129997,83.48761,-0.003628333587575,41908.148438,-0.005240147850551,0.056145328488157,3198000
2019-03-07,84.970001,85.410004,84.660004,85.260002,83.615105,0.001527112825484,41641.839844,-0.006354577902528,0.059058570080011,4321800
2019-03-08,84.580002,84.879997,84.019997,84.800003,83.163979,-0.005395269192092,41586.699219,-0.001324163994832,0.059325728770961,4669700
2019-03-11,85.389999,85.940002,85.050003,85.82,84.164291,0.012028188309749,41876.171875,0.006960702855391,0.087184016645384,3999800
2019-03-12,85.779999,86.080002,85.019997,85.43,83.78183,-0.004544219353075,41740.621094,-0.003236942990028,0.093380226789368,4431600
2019-03-13,85.699997,86.660004,85.599998,85.93,84.272179,0.005852689061578,41932.558594,0.004598338380441,0.099024873764701,5037800
2019-03-14,86.150002,86.879997,85.699997,86.870003,85.194054,0.010939256714841,41777.808594,-0.003690449740936,0.088949447356105,5906100
2019-03-15,87.220001,87.610001,85.959999,86.800003,85.125389,-0.000805983478612,42210.460938,0.010356032510095,0.069478325515619,11031400
2019-03-18,87.300003,87.839996,87,87.82,86.12571,0.011751147474933,42378.609375,0.003983572632552,0.083326562190485,7750700
2019-03-19,88.220001,88.589996,87.290001,87.690002,85.998215,-0.001480336127273,43156.210938,0.018348916457337,0.046608045347005,6642200
2019-03-20,87.5,87.580002,86.089996,86.690002,85.017517,-0.011403701809392,43251.191406,0.002200852807408,0.034002414741892,5991500
2019-03-21,87.239998,88.120003,86.830002,88.010002,86.312057,0.01522674438963,42259.121094,-0.022937410040047,-0.052904500079363,10386900
